site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_sim_site,nearest_volt,power_pool,US_region,automated_error
10052,44.9,-97.0,GIC,measured,NERC,,1.4613600380655098,0.1647572270786324,53.12271457325617,-29.127474001522444,0.4499390710472339,,,SPP,Central,Baseline offset detected (median value: 1.45 A)
10064,41.8,-88.2,GIC,measured,NERC,stays at zero,0.9992471574670888,-0.0003270784925398,50.599997542911495,-18.35694902881811,0.3366351548849343,,138.0,PJM,East,All GIC values are positive
10065,41.8,-87.8,GIC,measured,NERC,"periods of missing data, otherwise fine",0.909356959861706,-0.0412656049328742,50.61988026530555,-17.888104582110564,0.3374057562274778,,,PJM,East,Baseline offset detected (median value: 1.98 A)
10066,41.6,-87.9,GIC,measured,NERC,"not centered on zero, noisy",0.8800135763626162,-0.0555106277431414,50.41539388233043,-17.984542104891283,0.3295639102593898,,,PJM,East,Baseline offset detected (median value: 1.17 A)
10067,42.1,-87.9,GIC,measured,NERC,"all negative, not smooth",1.1739638468547255,0.0696547226754306,50.91429266131197,-18.036867820618443,0.3490250360110629,,,PJM,East,All GIC values are negative
10068,42.0,-88.2,GIC,measured,NERC,"periods of missing data, otherwise fine",1.1501378826302473,0.0607499082457068,50.79953930131316,-18.37831203957039,0.3444493378340239,,,PJM,East,Data is constant for at least 5 minutes starting at time 2024-05-10 00:00:00
10069,41.9,-87.7,GIC,measured,NERC,very noisy,0.9673350159942892,-0.0144230911702549,50.72455849365939,-17.781189667060932,0.341491991153948,,,PJM,East,
10071,42.2,-88.9,GIC,measured,NERC,very noisy,1.597837505434032,0.2035326109719616,50.96300811733543,-19.22153403093533,0.3509858585046079,,,PJM,East,Baseline offset detected (median value: 1.26 A)
10072,42.2,-88.9,GIC,measured,NERC,"periods of missing data, otherwise fine",1.597837505434032,0.2035326109719616,50.96300811733543,-19.22153403093533,0.3509858585046079,,,PJM,East,Baseline offset detected (median value: 2.43 A)
10073,41.6,-87.7,GIC,measured,NERC,very noisy,0.8350684775599249,-0.0782779098972061,50.42519991827764,-17.750315320210234,0.3299357671787701,,,PJM,East,Baseline offset detected (median value: -1.48 A)
10074,41.2,-87.9,GIC,measured,NERC,"periods of missing data, otherwise fine",0.7763817105617404,-0.1099247039581599,50.01625827218452,-17.943468826615515,0.3147786524856614,,,PJM,East,Data is constant for at least 5 minutes starting at time 2024-05-10 01:45:10
10075,41.7,-87.5,GIC,measured,NERC,1-min cadence,0.8160313452074529,-0.0882931589064612,50.534674012846494,-17.526146570244723,0.3341157572340693,,,PJM,East,Baseline offset detected (median value: 2.55 A)
10076,41.8,-88.0,GIC,measured,NERC,,0.9543020586643974,-0.0203141392918848,50.610001043256645,-18.12255811685062,0.3370226436633666,,,PJM,East,Baseline offset detected (median value: -1.21 A)
10094,41.9,-72.5,GIC,measured,NERC,not smooth,2.929623783371682,0.4668118526762025,51.0954542233828,0.1727749092020615,0.3563727507306717,,,ISONE,East,Low signal: all GIC values within +/- 3.5 A
10095,41.7,-72.2,GIC,measured,NERC,stays at zero,2.5428320075460182,0.4053176694145182,50.895161301468896,0.5276946989592535,0.3482579879049961,,,ISONE,East,All GIC values are positive
10096,41.8,-72.6,GIC,measured,NERC,stays at zero,3.171537678413347,0.5012698752573048,50.995485886343744,0.0542263022625717,0.3522992219753172,,345.0,ISONE,East,Low signal: all GIC values within +/- 3.5 A
10097,41.4,-72.1,GIC,measured,NERC,"1-min cadence, missing periods of data",2.324064908774785,0.3662482532918991,50.5949984853993,0.6449283838351824,0.3364416817758089,,,ISONE,East,Baseline offset detected (median value: 2.0 A)
10098,41.4,-72.1,GIC,measured,NERC,"1-min cadence, missing periods of data",2.324064908774785,0.3662482532918991,50.5949984853993,0.6449283838351824,0.3364416817758089,,,ISONE,East,Data gap detected >= 10.0 minutes (3601.0 seconds)
10099,41.4,-73.4,GIC,measured,NERC,,2.7748233392986035,0.4432353387343588,50.59455197658316,-0.8912264355120784,0.3364244064389854,,,NYISO,East,
10100,41.6,-72.9,GIC,measured,NERC,stays at zero,3.187275795663601,0.5034196446951135,50.79538272518143,-0.3007543302483693,0.3442847282412989,,,ISONE,East,All GIC values are positive
10103,38.6,-121.3,GIC,measured,NERC,very noisy,0.5766122104959627,-0.2391161651131437,44.29592409498193,-55.05783561019993,0.1630458208680706,,,NotOrder1000,West,Baseline offset detected (median value: -4.95 A)
10222,40.2,-75.3,GIC,measured,NERC,"periods of missing data, otherwise fine",2.691713307197934,0.430028801565164,49.38396316644192,-3.1145872940970176,0.2927022158770479,,230.0,PJM,East,Data is constant for at least 5 minutes starting at time 2024-05-10 00:00:00
10223,32.9,-115.7,GIC,measured,NERC,"really low values, missing periods of data",1.0780617886924158,0.032643652983504,39.36335592275683,-47.8502222564117,0.0924609072734675,,,WestConnect,West,Low signal: all GIC values within +/- 3.5 A
10224,40.2,-75.3,GIC,measured,NERC,"periods of missing data, otherwise fine",2.691713307197934,0.430028801565164,49.38396316644192,-3.1145872940970176,0.2927022158770479,,230.0,PJM,East,Data is constant for at least 5 minutes starting at time 2024-05-10 00:00:00
10229,43.6,-92.7,GIC,measured,NERC,"all positive, not smooth",1.1145399400687936,0.0470956362444158,52.13561137298429,-23.86441933707156,0.4016557216548033,,,MISO,Central,All GIC values are positive
