gic_sid,gic_lat,gic_lon,nearest_b_sid,b_lat,b_lon,distance_km
10052,44.9,-97.0,50115,41.3,-90.5,662.0242676765098
10076,41.8,-88.0,50115,41.3,-90.5,215.33117088658847
10099,41.4,-73.4,50117,36.1,-81.0,883.4720467027794
10238,31.5,-83.5,50119,35.0,-85.3,423.6264589074615
10255,45.7,-94.7,50115,41.3,-90.5,594.8953801562989
10587,46.4,-117.0,50112,48.3,-117.1,211.4045829012696
10618,38.3,-86.2,50132,38.0,-84.8,126.8826435148398
10619,38.3,-86.2,50132,38.0,-84.8,126.8826435148398
10622,39.3,-86.5,50118,39.4,-87.4,78.18148531820621
10063,33.4,-112.5,50127,37.1,-119.7,772.1210876145535
10077,42.3,-87.9,50115,41.3,-90.5,242.5006734019697
10079,41.5,-87.6,50118,39.4,-87.4,234.12156903765373
10107,34.5,-118.1,50127,37.1,-119.7,323.1021751283338
10112,47.7,-117.4,50112,48.3,-117.1,70.3517249276674
10113,45.6,-121.1,50112,48.3,-117.1,426.88044632600617
10114,46.5,-116.9,50112,48.3,-117.1,200.71591594245527
10115,47.6,-114.6,50112,48.3,-117.1,201.7924329963511
10402,39.5,-78.9,50117,36.1,-81.0,420.64878396112414
10428,36.7,-76.5,50117,36.1,-81.0,408.198272609415
10438,43.2,-75.2,50117,36.1,-81.0,932.1013603159835
10659,42.5,-87.9,50115,41.3,-90.5,253.17997338091214
10693,36.0,-84.1,50104,36.0,-84.1,0.0
10181,41.9,-74.0,50117,36.1,-81.0,883.5919269754779
10182,26.6,-98.5,50100,30.4,-89.6,966.4693810583731
10184,39.0,-78.2,50117,36.1,-81.0,406.0469472240971
10185,39.3,-81.3,50132,38.0,-84.8,336.53169762896204
10186,42.0,-80.0,50132,38.0,-84.8,603.9436810492821
10187,41.0,-81.6,50132,38.0,-84.8,431.97572440000084
10195,39.7,-74.9,50117,36.1,-81.0,668.0880878809397
10220,39.4,-87.4,50118,39.4,-87.4,0.0
10249,33.3,-81.0,50117,36.1,-81.0,311.3457946047649
10250,34.1,-80.9,50117,36.1,-81.0,222.57580471784263
Bradley,35.0425,-84.9587,50119,35.0,-85.3,31.436643298204082
Bull Run,36.0193,-84.1575,Bull Run,36.0252,-84.1468,1.1646435153073946
East Point,34.1946,-86.7474,Raccoon Mountain,35.0571,-85.3872,157.12047076391283
Gleason,36.246,-88.612,50122,35.6,-89.3,94.85641895354675
Johnsonville,36.029,-87.985,50122,35.6,-89.3,127.8075095275898
Montgomery,36.5949,-87.2533,50116,37.2,-86.9,74.25720591820513
Paradise 3,37.2587,-86.9781,Paradise,37.2561,-86.9986,1.8371951301019012
Pinhook,36.0465,-86.6059,50116,37.2,-86.9,130.9209123456895
Raccoon Mountain,35.0571,-85.3872,Raccoon Mountain,35.0571,-85.3872,0.0
Rutherford,35.8275,-86.5986,Raccoon Mountain,35.0571,-85.3872,139.2155508302216
Shelby,35.3859,-89.8042,Lagoon Creek,35.6475,-89.3907,47.39970968893162
Southaven,34.9939,-90.0497,Lagoon Creek,35.6475,-89.3907,94.10942148076158
Sullivan,36.4419,-82.2791,50117,36.1,-81.0,120.80608993024566
Union,34.378,-88.8578,Union,34.375,-88.8567,0.3485255134850146
Widows Creek,34.8859,-85.7554,Raccoon Mountain,35.0571,-85.3872,38.57393430571114
