site_id,geo_lat,geo_lon,data_type,data_class,data_source,error
10052,44.9,-97,GIC,measured,NERC,
10064,41.8,-88.2,GIC,measured,NERC,'no values'
10065,41.8,-87.8,GIC,measured,NERC,'not centered'
10066,41.6,-87.9,GIC,measured,NERC,'noisy'
10067,42.1,-87.9,GIC,measured,NERC,'no values'
10068,42,-88.2,GIC,measured,NERC,'not centered'
10069,41.9,-87.7,GIC,measured,NERC,'noisy'
10071,42.2,-88.9,GIC,measured,NERC,'noisy'
10072,42.2,-88.9,GIC,measured,NERC,'not centered'
10073,41.6,-87.7,GIC,measured,NERC,'noisy'
10074,41.2,-87.9,GIC,measured,NERC,
10075,41.7,-87.5,GIC,measured,NERC,'not centered'
10076,41.8,-88,GIC,measured,NERC,
10094,41.9,-72.5,GIC,measured,NERC,'low sampling rate'
10095,41.7,-72.2,GIC,measured,NERC,'no values'
10096,41.8,-72.6,GIC,measured,NERC,'low values'
10097,41.4,-72.1,GIC,measured,NERC,'low sampling rate'
10098,41.4,-72.1,GIC,measured,NERC,'low sampling rate'
10099,41.4,-73.4,GIC,measured,NERC,'duplicate time stamps'
10100,41.6,-72.9,GIC,measured,NERC,'no values'
10103,38.6,-121.3,GIC,measured,NERC,'noisy'
10222,40.2,-75.3,GIC,measured,NERC,'low sampling rate'
10223,32.9,-115.7,GIC,measured,NERC,'low values'
10224,40.2,-75.3,GIC,measured,NERC,'low sampling rate'
10232,45,-92.8,GIC,measured,NERC,'low sampling rate'
10233,47.6,-122.3,GIC,measured,NERC,'noisy'
10237,33.7,-84.9,GIC,measured,NERC,'not centered'
10238,31.5,-83.5,GIC,measured,NERC,'not centered'
10239,31.3,-81.7,GIC,measured,NERC,'low sampling rate'
10253,47.5,-116.2,GIC,measured,NERC,'noisy'
10254,42.8,-82.5,GIC,measured,NERC,'noisy'
10255,45.7,-94.7,GIC,measured,NERC,
10265,43.6,-116.3,GIC,measured,NERC,'not centered'
10266,42.8,-114.4,GIC,measured,NERC,'no values'
10297,46.8,-92.3,GIC,measured,NERC,
10298,43.4,-88,GIC,measured,NERC,'low values'
10299,46.6,-87.4,GIC,measured,NERC,'not centered'
10300,46.6,-87.4,GIC,measured,NERC,'not centered'
10301,44,-88.6,GIC,measured,NERC,'not centered'
10302,44.2,-88.1,GIC,measured,NERC,'no values'
10303,44.8,-89.7,GIC,measured,NERC,'low values'
10304,44.8,-89.7,GIC,measured,NERC,'low values'
10306,44.8,-88.2,GIC,measured,NERC,'not centered'
10307,44.4,-88.4,GIC,measured,NERC,'not centered'
10308,42.5,-89.1,GIC,measured,NERC,'not centered'
10309,45.8,-88,GIC,measured,NERC,'not centered'
10310,43,-89,GIC,measured,NERC,'not centered'
10311,43,-89,GIC,measured,NERC,'not centered'
10312,43,-89,GIC,measured,NERC,'not centered'
10313,44.5,-89.6,GIC,measured,NERC,'not centered'
10314,44.5,-89.6,GIC,measured,NERC,'no values'
10315,44.5,-89.6,GIC,measured,NERC,
10316,43.7,-88.5,GIC,measured,NERC,'not centered'
10317,43.7,-88.5,GIC,measured,NERC,'not centered'
10318,44.4,-88.7,GIC,measured,NERC,'not centered'
10321,43.1,-88,GIC,measured,NERC,'not centered'
10322,43.3,-89.4,GIC,measured,NERC,'not centered'
10336,44.8,-91.5,GIC,measured,NERC,'not centered'
10338,44.8,-91.5,GIC,measured,NERC,'noisy'
10339,43.7,-95.7,GIC,measured,NERC,'low sampling rate'
10340,43.7,-95.7,GIC,measured,NERC,'low sampling rate'
10341,45,-93.5,GIC,measured,NERC,'low sampling rate'
10342,45,-93.5,GIC,measured,NERC,'not centered'
10343,47.9,-97.1,GIC,measured,NERC,'noisy'
10344,47.9,-97.1,GIC,measured,NERC,'noisy'
10345,47.9,-97.1,GIC,measured,NERC,'noisy'
10347,47.9,-97.1,GIC,measured,NERC,'noisy'
10348,45.5,-94.3,GIC,measured,NERC,'low sampling rate'
10349,44.8,-93.6,GIC,measured,NERC,'not centered'
10350,44.8,-93.6,GIC,measured,NERC,'not centered'
10351,44.8,-93.6,GIC,measured,NERC,'low sampling rate'
10352,44.8,-93.6,GIC,measured,NERC,'low sampling rate'
10353,45.4,-93.9,GIC,measured,NERC,'low sampling rate'
