site_id,geo_lat,geo_lon,data_type,data_class,data_source,manual_error
10052,44.9,-97,GIC,measured,NERC,
10094,41.9,-72.5,GIC,measured,NERC,
10095,41.7,-72.2,GIC,measured,NERC,
10096,41.8,-72.6,GIC,measured,NERC,
10097,41.4,-72.1,GIC,measured,NERC,
10098,41.4,-72.1,GIC,measured,NERC,
10099,41.4,-73.4,GIC,measured,NERC,
10100,41.6,-72.9,GIC,measured,NERC,
10103,38.6,-121.3,GIC,measured,NERC,
10233,47.6,-122.3,GIC,measured,NERC,
10611,39.6,-92.6,GIC,measured,NERC,
10618,38.3,-86.2,GIC,measured,NERC,
10619,38.3,-86.2,GIC,measured,NERC,
10620,39.1,-87.5,GIC,measured,NERC,
10621,39.1,-87.5,GIC,measured,NERC,
10622,39.3,-86.5,GIC,measured,NERC,
10715,41.9,-72.8,GIC,measured,NERC,
10051,44.4,-96.5,GIC,measured,NERC,
10102,42.9,-71.3,GIC,measured,NERC,
10240,40.8,-73.6,GIC,measured,NERC,
10438,43.2,-75.2,GIC,measured,NERC,
10445,41.1,-74.2,GIC,measured,NERC,
10584,40,-104,GIC,measured,NERC,
10628,48,-66.4,GIC,measured,NERC,
10648,32.8,-115.5,GIC,measured,NERC,
10649,42.8,-74,GIC,measured,NERC,
10674,41.7,-72.6,GIC,measured,NERC,
10675,47.9,-65.9,GIC,measured,NERC,
10676,46.1,-66.8,GIC,measured,NERC,
10677,45.2,-66.2,GIC,measured,NERC,
10679,41.3,-74.3,GIC,measured,NERC,
10717,34.3,-81.3,GIC,measured,NERC,
10086,27.7,-82,GIC,measured,NERC,
10087,27.9,-82.4,GIC,measured,NERC,
10088,27.9,-82.4,GIC,measured,NERC,
10090,27.8,-82.1,GIC,measured,NERC,
10091,27.7,-82.3,GIC,measured,NERC,
10248,32.8,-80.6,GIC,measured,NERC,
10249,33.3,-81,GIC,measured,NERC,
10250,34.1,-80.9,GIC,measured,NERC,
