sim_site,sim_lat,sim_lon,tva_site,tva_lat,tva_lon,tva_dist,nerc_site,nerc_lat,nerc_lon,nerc_dist
14133615,34.88629631130346,-85.75506619292295,Widows Creek,34.8859,-85.7554,0.0535631169304656,,,,
16489940,35.0566591348973,-85.38728918846688,Raccoon Mountain,35.0571,-85.3872,0.0496896051681427,,,,
40397417,42.46922702449067,-87.89552500469144,,,,,10659,42.5,-87.9,3.44141892383886
40788257,42.55287616294733,-87.90081914798122,,,,,10659,42.5,-87.9,5.879944237544316
43092005,42.31375315315611,-87.97554804774987,,,,,10077,42.3,-87.9,6.398089505307816
53154820,31.47840771778932,-83.54902471180756,,,,,10238,31.5,-83.5,5.23196258546936
53159889,34.95545765903282,-85.26458767032142,,,,,10203,35.0,-85.3,5.911081772237743
55975045,45.60366331922955,-121.10788219747296,,,,,10113,45.6,-121.1,0.7361731838257858
55975082,45.60639155490683,-121.11577237460138,,,,,10113,45.6,-121.1,1.417973387955254
71870004,41.79965485373665,-88.058750908478,,,,,10076,41.8,-88.0,4.8702120550752985
72861542,41.859969887549866,-88.04330209587835,,,,,10076,41.8,-88.0,7.572246895697295
73877825,39.4994152010507,-78.91647062611804,,,,,10402,39.5,-78.9,1.4146931078232994
80921422,36.710460999844216,-76.58031715026664,,,,,10428,36.7,-76.5,7.253929391293107
86822197,41.01105209503756,-81.69748394421896,,,,,10187,41.0,-81.6,8.271953092342585
86958445,44.883737723498896,-97.04103724592017,,,,,10052,44.9,-97.0,3.704089088334939
86958986,44.88257089494228,-97.04500207479164,,,,,10052,44.9,-97.0,4.040233113965676
90962732,34.996473483225614,-90.04844795183949,Southaven,34.9939,-90.0497,0.3080487130739886,,,,
94922230,45.63557141088467,-121.20407517284724,,,,,10113,45.6,-121.1,9.009096842489315
95131944,39.74100467326879,-74.9627410549539,,,,,10195,39.7,-74.9,7.041611242639401
95264467,39.73403304421973,-74.97301099176453,,,,,10195,39.7,-74.9,7.301943051835068
97213220,39.05781513104593,-78.25406082338718,,,,,10184,39.0,-78.2,7.945771326902079
97859576,35.38605863847598,-89.8034177792947,Shelby,35.3859,-89.8042,0.0730724007819653,10204,35.3,-89.8,9.574303937516383
98699542,34.37763081947609,-88.85889715131363,Union,34.378,-88.8578,0.1087353575539251,,,,
98830488,46.46906864472785,-116.91038018089644,,,,,10114,46.5,-116.9,3.530035802442516
102517038,47.57591317482864,-114.62872796051566,,,,,10115,47.6,-114.6,3.437337886700536
104296608,41.569657899952375,-87.56766555077326,,,,,10079,41.5,-87.6,8.199868875517982
104297949,41.55163975004219,-87.51865839999972,,,,,10079,41.5,-87.6,8.878274361298022
104297953,41.54581914719196,-87.51600337916508,,,,,10079,41.5,-87.6,8.651958296031454
105031194,33.412228101827736,-112.50028494986816,,,,,10063,33.4,-112.5,1.359960129779075
105031252,33.43679431284723,-112.59247155452373,,,,,10063,33.4,-112.5,9.507710595490906
106759357,36.244810322526746,-88.61149775975416,Gleason,36.246,-88.612,0.1397433241984355,10660,36.2,-88.6,5.08830872480194
106782533,36.02381170262302,-87.98157707664751,Johnsonville,36.029,-87.985,0.6538959416412855,,,,
108137138,36.018862461004105,-84.15794542020765,Bull Run,36.0193,-84.1575,0.0630222655299859,10693,36.0,-84.1,5.618250979943795
108718796,36.4421848957733,-82.27951390004864,Sullivan,36.4419,-82.2791,0.0487271683876631,10197,36.4,-82.2,8.52174906594571
138212810,39.344702393585344,-81.30867114653319,,,,,10185,39.3,-81.3,5.026331010137207
140295802,41.39172550956521,-73.40217133039332,,,,,10099,41.4,-73.4,0.9377386678961024
157842592,37.25905909334151,-86.9771530435288,Paradise 3,37.2587,-86.9781,0.0928325985862248,,,,
161069026,39.39432507790942,-87.51410334423005,,,,,10220,39.4,-87.4,9.824905176553662
161069027,39.39491692984454,-87.50915193628309,,,,,10220,39.4,-87.4,9.39613307190638
164138694,35.8279149875831,-86.59841528231635,Rutherford,35.8275,-86.5986,0.0490575605310423,10208,35.8,-86.5,9.401339127946216
171542397,45.63219182350334,-121.20364353203615,,,,,10113,45.6,-121.1,8.82008117447392
175954899,42.06961518381447,-80.04811185789814,,,,,10186,42.0,-80.0,8.70112112557541
177599080,42.44672988381466,-87.80538765528125,,,,,10659,42.5,-87.9,9.762182413324538
177767948,42.27856719941369,-87.86663104917521,,,,,10077,42.3,-87.9,3.63508761194571
177930721,41.83330914990295,-88.04592600069796,,,,,10076,41.8,-88.0,5.310700197615375
178843564,39.29610577159896,-86.52037058172736,,,,,10622,39.3,-86.5,1.8055712257313197
185130617,34.10381734781337,-80.98328238385213,,,,,10250,34.1,-80.9,7.679883872537829
185201670,34.12224642339443,-80.94402434932711,,,,,10250,34.1,-80.9,4.748306716646016
276404800,34.145799151814444,-80.86701000463903,,,,,10250,34.1,-80.9,5.929323221651325
287491782,36.27506306705048,-88.83404487347305,Weakley,36.2752,-88.8347,0.0606697011120883,,,,
391063456,39.404073723202345,-87.49617127234306,,,,,10220,39.4,-87.4,8.275590312792055
486846715,42.43988546642255,-87.8988724102016,,,,,10659,42.5,-87.9,6.6850709391842456
708931360,36.594780863193776,-87.25291537755713,Montgomery,36.5949,-87.2533,0.0368040794060567,,,,
725846458,42.538228568421175,-87.90822221142432,,,,,10659,42.5,-87.9,4.303903629080986
830933353,45.6369718021476,-121.20467257346948,,,,,10113,45.6,-121.1,9.119899910312874
872338053,45.6564953281347,-94.70864872401708,,,,,10255,45.7,-94.7,4.883940552036821
1210590700,36.04661170900899,-86.60573426280767,Pinhook,36.0465,-86.6059,0.0193990516443532,10212,36.0,-86.6,5.208577472721275
