site_id,geo_lat,geo_lon,data_type,data_class,data_source,event,manual_error
LUC line,37.04995133333333,-2.1819095,DMM,measured,Marsal2021,2020-08-28,
LUC ref,37.047449,-2.1840116666666667,DMM,measured,Marsal2021,2020-08-28,
SAN line,41.873913,1.3325198333333335,DMM,measured,Marsal2021,2021-03-24,
SAN ref,41.87557733333333,1.3344913333333333,DMM,measured,Marsal2021,2021-03-24,
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal2021,2021-03-24,
TRA ref,40.527670666666666,0.26106216666666665,DMM,measured,Marsal2021,2021-03-24,
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal2021,2021-04-23,
TRA ref,40.527670666666666,0.26106216666666665,DMM,measured,Marsal2021,2021-04-23,
VIL line,41.173011333333335,0.40809666666666666,DMM,measured,Marsal2021,2021-04-23,
VIL ref,41.171434,0.40772033333333335,DMM,measured,Marsal2021,2021-04-23,
SAN line,41.873913,1.3325198333333335,DMM,measured,Marsal2021,2020-07-13,
SAN ref,41.87557733333333,1.3344913333333333,DMM,measured,Marsal2021,2020-07-13,
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal2021,2020-07-13,
TRA ref,40.527670666666666,0.26106216666666665,DMM,measured,Marsal2021,2020-07-13,
LUC line,37.04995133333333,-2.1819095,DMM,measured,Marsal2021,2021-05-12,
LUC ref,37.047449,-2.1840116666666667,DMM,measured,Marsal2021,2021-05-12,
SAN line,41.873913,1.3325198333333335,DMM,measured,Marsal2021,2021-05-12,
SAN ref,41.87557733333333,1.3344913333333333,DMM,measured,Marsal2021,2021-05-12,
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal2021,2021-05-12,
TRA ref,40.527670666666666,0.26106216666666665,DMM,measured,Marsal2021,2021-05-12,
VIL line,41.173011333333335,0.40809666666666666,DMM,measured,Marsal2021,2021-05-12,
VIL ref,41.171434,0.40772033333333335,DMM,measured,Marsal2021,2021-05-12,
LUC line,37.04995133333333,-2.1819095,DMM,measured,Marsal2021,2020-07-24,
LUC ref,37.047449,-2.1840116666666667,DMM,measured,Marsal2021,2020-07-24,
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal2021,2020-07-24,
TRA ref,40.527670666666666,0.26106216666666665,DMM,measured,Marsal2021,2020-07-24,
SAN line,41.873913,1.3325198333333335,DMM,measured,Marsal2021,2021-05-26,
SAN ref,41.87557733333333,1.3344913333333333,DMM,measured,Marsal2021,2021-05-26,
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal2021,2021-05-26,
TRA ref,40.527670666666666,0.26106216666666665,DMM,measured,Marsal2021,2021-05-26,
VIL line,41.173011333333335,0.40809666666666666,DMM,measured,Marsal2021,2021-05-26,
VIL ref,41.171434,0.40772033333333335,DMM,measured,Marsal2021,2021-05-26,
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal2021,2021-03-06,
TRA ref,40.527670666666666,0.26106216666666665,DMM,measured,Marsal2021,2021-03-06,
