site_id,geo_lat,geo_lon,data_type,data_class,data_source,event,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region
CHI line,40.167025333333335,-3.4283451666666664,DMM,measured,Marsal,2024-05-10,,,,42.8482140076195,77.02738967786162,0.13804015358979996,,,
CHI ref,40.169217,-3.4229776666666667,DMM,measured,Marsal,2024-05-10,,,,42.849523817991965,77.03347597274416,0.13806094789473872,,,
CUL line,40.30739616666666,-0.1113748333333333,DMM,measured,Marsal,2024-05-10,,,,42.465822140424585,80.43634612640534,0.13210136521042878,,,
CUL ref,40.30804633333333,-0.108697,DMM,measured,Marsal,2024-05-10,,,,42.46603629259177,80.43923673737804,0.1321046185767593,,,
MAS line,41.175077,0.3272508333333333,DMM,measured,Marsal,2024-05-10,,,,43.24530127858977,81.12618735927587,0.1444899055082385,,,
MAS ref,41.173462666666666,0.3259615,DMM,measured,Marsal,2024-05-10,,,,43.243926433539656,81.12441983113672,0.14446706242250534,,,
MNR line,39.90542883333333,4.1837785,DMM,measured,Marsal,2024-05-10,,,,41.39214694367342,84.64451288748235,0.11675723895481112,,,
MNR ref,39.903235333333335,4.181145666666667,DMM,measured,Marsal,2024-05-10,,,,41.39042004016559,84.64127284308807,0.11673405398125022,,,
SAN line,41.873913,1.3325198333333337,DMM,measured,Marsal,2024-05-10,,,,43.76939445592884,82.34398595849035,0.15346620231594,,,
SAN ref,41.87557733333333,1.3344913333333333,DMM,measured,Marsal,2024-05-10,,,,43.770708459385794,82.3464625570026,0.15348939440702128,,,
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal,2024-05-10,,,,42.620468408041546,80.87687932059347,0.13447171330515234,,,
TRA ref,40.527670666666666,0.2610621666666666,DMM,measured,Marsal,2024-05-10,,,,42.62259366133054,80.87478786124228,0.13450458276356705,,,
CUL line,40.30739616666666,-0.1113748333333333,DMM,measured,Marsal,2023-02-26,,,,42.47414525360122,80.49955110025816,0.13222786762271477,,,
CUL ref,40.30804633333333,-0.108697,DMM,measured,Marsal,2023-02-26,,,,42.47435643971662,80.50244249659728,0.13223107900102785,,,
SAN line,41.873913,1.3325198333333337,DMM,measured,Marsal,2023-02-26,,,,43.77575475127792,82.40993411620872,0.15357849377070135,,,
SAN ref,41.87557733333333,1.3344913333333333,DMM,measured,Marsal,2023-02-26,,,,43.77706620180283,82.41241357199246,0.15360165773598614,,,
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal,2023-02-26,,,,42.62833913286819,80.94043350862937,0.13459348323887832,,,
TRA ref,40.527670666666666,0.2610621666666666,DMM,measured,Marsal,2023-02-26,,,,42.63046653223408,80.93834581874279,0.13462641568764416,,,
LUC line,37.04995133333333,-2.1819095,DMM,measured,Marsal,2021-05-12,,,,39.62776447947713,77.61255958587957,0.095315545124622,,,
LUC ref,37.047449,-2.1840116666666667,DMM,measured,Marsal,2021-05-12,,,,39.62564537432952,77.60977919139786,0.09529231983353804,,,
SAN line,41.873913,1.3325198333333337,DMM,measured,Marsal,2021-05-12,,,,43.78513878341377,82.50816979078809,0.15374431956610282,,,
SAN ref,41.87557733333333,1.3344913333333333,DMM,measured,Marsal,2021-05-12,,,,43.78644641784521,82.51065349921642,0.15376744106161985,,,
VIL line,41.173011333333335,0.4080966666666666,DMM,measured,Marsal,2021-05-12,,,,43.249179266186815,81.3685035979341,0.14455435783609435,,,
VIL ref,41.171434,0.4077203333333333,DMM,measured,Marsal,2021-05-12,,,,43.2476986177999,81.36766186001972,0.1445297460012121,,,
LUC line,37.04995133333333,-2.1819095,DMM,measured,Marsal,2021-11-03,,,,39.623262671991945,77.58961128257027,0.09526621228875523,,,
LUC ref,37.047449,-2.1840116666666667,DMM,measured,Marsal,2021-11-03,,,,39.62114243725307,77.5868325209094,0.09524298664612503,,,
SAN line,41.873913,1.3325198333333337,DMM,measured,Marsal,2021-11-03,,,,43.7826398291584,82.48189837156656,0.15370014291165837,,,
SAN ref,41.87557733333333,1.3344913333333333,DMM,measured,Marsal,2021-11-03,,,,43.78394848568457,82.48438094313065,0.15372327583225082,,,
CHI line,40.167025333333335,-3.4283451666666664,DMM,measured,Marsal,2023-09-24,,,,42.854374644042146,77.0604426890706,0.13813798598929317,,,
CHI ref,40.169217,-3.4229776666666667,DMM,measured,Marsal,2023-09-24,,,,42.85568123177019,77.0665308796055,0.1381587438294517,,,
CUL line,40.30739616666666,-0.1113748333333333,DMM,measured,Marsal,2023-09-24,,,,42.470168249628834,80.46931008225627,0.13216740631312218,,,
CUL ref,40.30804633333333,-0.108697,DMM,measured,Marsal,2023-09-24,,,,42.470380855606706,80.47220110364557,0.13217063780440258,,,
SAN line,41.873913,1.3325198333333337,DMM,measured,Marsal,2023-09-24,,,,43.77271763932684,82.37838059462344,0.15352486310291222,,,
SAN ref,41.87557733333333,1.3344913333333333,DMM,measured,Marsal,2023-09-24,,,,43.77403031222421,82.38085868354472,0.15354804056386248,,,
TRA line,40.52591116666667,0.2636231666666667,DMM,measured,Marsal,2023-09-24,,,,42.624578718467866,80.91002547155315,0.13453529118594917,,,
TRA ref,40.527670666666666,0.2610621666666666,DMM,measured,Marsal,2023-09-24,,,,42.626705091054504,80.9079359764148,0.1345681935064723,,,
CHI line,40.167025333333335,-3.4283451666666664,DMM,measured,Marsal,2024-04-19,,,,42.84879664579276,77.03051326707305,0.13804940305790567,,,
