site_id,geo_lat,geo_lon,data_type,data_class,data_source,event,manual_error
10052,44.9,-97.0,GIC,measured,NERC,2021-05-12,
10064,41.8,-88.2,GIC,measured,NERC,2021-05-12,
10065,41.8,-87.8,GIC,measured,NERC,2021-05-12,
10066,41.6,-87.9,GIC,measured,NERC,2021-05-12,
10067,42.1,-87.9,GIC,measured,NERC,2021-05-12,
10068,42.0,-88.2,GIC,measured,NERC,2021-05-12,
10069,41.9,-87.7,GIC,measured,NERC,2021-05-12,
10071,42.2,-88.9,GIC,measured,NERC,2021-05-12,
10072,42.2,-88.9,GIC,measured,NERC,2021-05-12,
10073,41.6,-87.7,GIC,measured,NERC,2021-05-12,
10074,41.2,-87.9,GIC,measured,NERC,2021-05-12,
10075,41.7,-87.5,GIC,measured,NERC,2021-05-12,
10076,41.8,-88.0,GIC,measured,NERC,2021-05-12,
10094,41.9,-72.5,GIC,measured,NERC,2021-05-12,
10095,41.7,-72.2,GIC,measured,NERC,2021-05-12,
10096,41.8,-72.6,GIC,measured,NERC,2021-05-12,
10097,41.4,-72.1,GIC,measured,NERC,2021-05-12,
10098,41.4,-72.1,GIC,measured,NERC,2021-05-12,
10099,41.4,-73.4,GIC,measured,NERC,2021-05-12,
10100,41.6,-72.9,GIC,measured,NERC,2021-05-12,
10103,38.6,-121.3,GIC,measured,NERC,2021-05-12,
10222,40.2,-75.3,GIC,measured,NERC,2021-05-12,
10223,32.9,-115.7,GIC,measured,NERC,2021-05-12,
10224,40.2,-75.3,GIC,measured,NERC,2021-05-12,
10227,39.5,-97.5,GIC,measured,NERC,2021-05-12,
10229,43.6,-92.7,GIC,measured,NERC,2021-05-12,
10232,45.0,-92.8,GIC,measured,NERC,2021-05-12,
10233,47.6,-122.3,GIC,measured,NERC,2021-05-12,
10237,33.7,-84.9,GIC,measured,NERC,2021-05-12,
10238,31.5,-83.5,GIC,measured,NERC,2021-05-12,
10239,31.3,-81.7,GIC,measured,NERC,2021-05-12,
10244,33.7,-86.6,GIC,measured,NERC,2021-05-12,
10245,33.7,-86.6,GIC,measured,NERC,2021-05-12,
10253,47.5,-116.2,GIC,measured,NERC,2021-05-12,
10254,42.8,-82.5,GIC,measured,NERC,2021-05-12,
10255,45.7,-94.7,GIC,measured,NERC,2021-05-12,
10265,43.6,-116.3,GIC,measured,NERC,2021-05-12,
10266,42.8,-114.4,GIC,measured,NERC,2021-05-12,
10297,46.8,-92.3,GIC,measured,NERC,2021-05-12,
10298,43.4,-88.0,GIC,measured,NERC,2021-05-12,
10299,46.6,-87.4,GIC,measured,NERC,2021-05-12,
10300,46.6,-87.4,GIC,measured,NERC,2021-05-12,
10301,44.0,-88.6,GIC,measured,NERC,2021-05-12,
10302,44.2,-88.1,GIC,measured,NERC,2021-05-12,
10303,44.8,-89.7,GIC,measured,NERC,2021-05-12,
10304,44.8,-89.7,GIC,measured,NERC,2021-05-12,
10305,44.3,-87.5,GIC,measured,NERC,2021-05-12,
10306,44.8,-88.2,GIC,measured,NERC,2021-05-12,
10307,44.4,-88.4,GIC,measured,NERC,2021-05-12,
10309,45.8,-88.0,GIC,measured,NERC,2021-05-12,
10310,43.0,-89.0,GIC,measured,NERC,2021-05-12,
10311,43.0,-89.0,GIC,measured,NERC,2021-05-12,
10312,43.0,-89.0,GIC,measured,NERC,2021-05-12,
10313,44.5,-89.6,GIC,measured,NERC,2021-05-12,
10314,44.5,-89.6,GIC,measured,NERC,2021-05-12,
10315,44.5,-89.6,GIC,measured,NERC,2021-05-12,
10316,43.7,-88.5,GIC,measured,NERC,2021-05-12,
10317,43.7,-88.5,GIC,measured,NERC,2021-05-12,
10318,44.4,-88.7,GIC,measured,NERC,2021-05-12,
10319,43.7,-87.7,GIC,measured,NERC,2021-05-12,
10320,43.7,-87.7,GIC,measured,NERC,2021-05-12,
10321,43.1,-88.0,GIC,measured,NERC,2021-05-12,
10322,43.3,-89.4,GIC,measured,NERC,2021-05-12,
10323,34.6,-117.3,GIC,measured,NERC,2021-05-12,
10329,42.5,-83.5,GIC,measured,NERC,2021-05-12,
10336,44.8,-91.5,GIC,measured,NERC,2021-05-12,
10338,44.8,-91.5,GIC,measured,NERC,2021-05-12,
10339,43.7,-95.7,GIC,measured,NERC,2021-05-12,
10340,43.7,-95.7,GIC,measured,NERC,2021-05-12,
10341,45.0,-93.5,GIC,measured,NERC,2021-05-12,
10342,45.0,-93.5,GIC,measured,NERC,2021-05-12,
10343,47.9,-97.1,GIC,measured,NERC,2021-05-12,
10344,47.9,-97.1,GIC,measured,NERC,2021-05-12,
10345,47.9,-97.1,GIC,measured,NERC,2021-05-12,
10347,47.9,-97.1,GIC,measured,NERC,2021-05-12,
10348,45.5,-94.3,GIC,measured,NERC,2021-05-12,
10349,44.8,-93.6,GIC,measured,NERC,2021-05-12,
10350,44.8,-93.6,GIC,measured,NERC,2021-05-12,
10351,44.8,-93.6,GIC,measured,NERC,2021-05-12,
10352,44.8,-93.6,GIC,measured,NERC,2021-05-12,
10353,45.4,-93.9,GIC,measured,NERC,2021-05-12,
10354,45.9,-91.5,GIC,measured,NERC,2021-05-12,
10355,44.2,-94.0,GIC,measured,NERC,2021-05-12,
10356,44.2,-94.0,GIC,measured,NERC,2021-05-12,
10357,47.7,-117.5,GIC,measured,NERC,2021-05-12,
10397,39.1,-78.3,GIC,measured,NERC,2021-05-12,
10398,41.1,-74.2,GIC,measured,NERC,2021-05-12,
10595,42.5,-83.0,GIC,measured,NERC,2021-05-12,
10596,42.5,-83.0,GIC,measured,NERC,2021-05-12,
10597,41.9,-83.3,GIC,measured,NERC,2021-05-12,
10598,41.9,-83.3,GIC,measured,NERC,2021-05-12,
10618,38.3,-86.2,GIC,measured,NERC,2021-05-12,
10619,38.3,-86.2,GIC,measured,NERC,2021-05-12,
10622,39.3,-86.5,GIC,measured,NERC,2021-05-12,
10623,39.3,-86.5,GIC,measured,NERC,2021-05-12,
