site_id,geo_lat,geo_lon,data_type,data_class,data_source,event,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region,automated_error
10052,44.9,-97.0,GIC,measured,NERC,2021-05-12,,1.4613600380655098,0.1647572270786324,53.253750769814665,-29.196177525519797,0.4567706196542491,,SPP,Central,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.0852 A) > 1/4 * std after (0.1497 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:27:27"
10064,41.8,-88.2,GIC,measured,NERC,2021-05-12,,0.9992471574670888,-0.0003270784925398,50.7415939630765,-18.386271769670078,0.3421616566863238,138.0,PJM,East,"All GIC values are positive;
All GIC values are negative;
Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10065,41.8,-87.8,GIC,measured,NERC,2021-05-12,,0.909356959861706,-0.0412656049328742,50.7618245945446,-17.916045856473684,0.3429586302489292,,PJM,East,"Low signal: all GIC values within +/- 4 A;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:04:10"
10066,41.6,-87.9,GIC,measured,NERC,2021-05-12,,0.8800135763626162,-0.0555106277431414,50.55726756155451,-18.01240204778672,0.3349850049830982,,PJM,East,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.3806 A) > 1/4 * std after (0.4710 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 23:05:20"
10067,42.1,-87.9,GIC,measured,NERC,2021-05-12,,1.1739638468547255,0.0696547226754306,51.05612742605432,-18.06580473680996,0.3547646649430321,,PJM,East,"All GIC values are negative;
Data is constant for at least 5 minutes starting at time 2021-05-12 06:00:00"
10068,42.0,-88.2,GIC,measured,NERC,2021-05-12,,1.1501378826302473,0.0607499082457068,50.94111950055912,-18.408075051700948,0.3501034711199552,,PJM,East,"All GIC values are negative;
Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.1064 A) > 1/4 * std after (0.2809 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:03:30"
10069,41.9,-87.7,GIC,measured,NERC,2021-05-12,,0.9673350159942892,-0.0144230911702549,50.866580760221815,-17.808997055142207,0.3471152257219338,,PJM,East,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.1002 A) > 1/4 * std after (0.1175 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 06:56:10"
10071,42.2,-88.9,GIC,measured,NERC,2021-05-12,,1.597837505434032,0.2035326109719616,51.10393774243229,-19.254180866112826,0.3567205993116826,,PJM,East,Excessive pre-storm noise: std before (0.9167 A) > 1/4 * std after (1.0014 A)
10072,42.2,-88.9,GIC,measured,NERC,2021-05-12,,1.597837505434032,0.2035326109719616,51.10393774243229,-19.254180866112826,0.3567205993116826,,PJM,East,"Low signal: all GIC values within +/- 4 A;
Excessive pre-storm noise: std before (0.0996 A) > 1/4 * std after (0.3476 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 08:04:30"
10073,41.6,-87.7,GIC,measured,NERC,2021-05-12,,0.8350684775599249,-0.0782779098972061,50.56724481465189,-17.77748828569078,0.3353695820402412,,PJM,East,"Excessive pre-storm noise: std before (0.8732 A) > 1/4 * std after (1.0255 A);
Data is constant for at least 5 minutes starting at time 2021-05-12 08:03:20"
