site_id,geo_lat,geo_lon,data_type,data_class,data_source,event,manual_error,interpolated_beta,log10_beta,mag_lat,mag_lon,alpha,nearest_volt,power_pool,US_region
Alberta 1,53.45,-144.45,GIC,measured,Parry2025,2023-04-24,,,,55.3654323534873,-84.49390524068458,0.5823226762563027,,,
Alberta 2,53.45,-113.48,GIC,measured,Parry2025,2023-04-24,,0.5733127985946018,-0.2416083629576306,59.918332234548814,-50.96361598010127,0.9829991023503157,,,
FCHP,58.769,248.894,B,measured,Parry2025,2023-04-24,,,,65.39788023284949,-50.757814515488214,1.8459627328018757,,,
MCMU,56.657,248.79,B,measured,Parry2025,2023-04-24,,,,63.33036171097439,-49.75222077811513,1.455335295590097,,,
MSTK,53.351,247.026,B,measured,Parry2025,2023-04-24,,,,59.884382260352346,-50.334102530657994,0.9791687132800994,,,
Ellerslie 1,53.434,-113.46,GIC,measured,Parry2024,2021-10-12,,0.5716652189889138,-0.2428582301413205,59.95423825156533,-51.02113933632316,0.9870664860622849,,,
Ellerslie 2,53.434,-113.46,GIC,measured,Parry2024,2021-10-12,,0.5716652189889138,-0.2428582301413205,59.95423825156533,-51.02113933632316,0.9870664860622849,,,
Alberta line,53.47,-113.33,DMM,measured,Parry2024,2021-10-12,,0.5702206887236462,-0.2439570296861195,60.005781083717295,-50.885098942103994,0.9929346236104355,,,
Alberta ref,53.47,-113.33,DMM,measured,Parry2024,2021-10-12,,0.5702206887236462,-0.2439570296861195,60.005781083717295,-50.885098942103994,0.9929346236104355,,,
Alberta line,53.47,-113.33,DMM,measured,Parry2024,2021-09-26,,0.5702206887236462,-0.2439570296861195,60.007194445166945,-50.88762206152392,0.9930960249115756,,,
Alberta ref,53.47,-113.33,DMM,measured,Parry2024,2021-09-26,,0.5702206887236462,-0.2439570296861195,60.007194445166945,-50.88762206152392,0.9930960249115756,,,
MSTK,53.351,247.026,B,measured,Parry2025,2021-11-04,,,,59.93200338480462,-50.4170188703752,0.9845457716241441,,,
